,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
0,First Class,Consumer,Nebraska,Central,Technology,Storage,35.44,6.0,0.2,-25.29
1,First Class,Consumer,Mississippi,Central,Technology,Machines,105.89,4.0,0.2,31.21
2,Same Day,Home Office,Montana,Central,Technology,Supplies,409.04,7.0,0.3,64.94
3,First Class,Consumer,North Dakota,Central,Technology,Appliances,372.83,3.0,0.1,33.67
4,Standard Class,Corporate,Oregon,East,Technology,Machines,208.88,2.0,0.4,24.01
5,Standard Class,Consumer,Oklahoma,West,Technology,Envelopes,497.52,9.0,0.3,-16.42
6,Second Class,Consumer,Louisiana,South,Office Supplies,Labels,79.03,7.0,0.3,68.39
7,Second Class,Corporate,Massachusetts,South,Technology,Fasteners,450.28,7.0,0.3,8.83
8,First Class,Home Office,Michigan,West,Furniture,Copiers,102.92,5.0,0.1,30.56
9,First Class,Home Office,Nevada,East,Office Supplies,Supplies,321.26,4.0,0.2,42.17
10,First Class,Consumer,Maryland,East,Furniture,Envelopes,319.01,3.0,0.2,-5.01
11,Standard Class,Consumer,Kansas,South,Technology,Copiers,73.75,1.0,0.3,46.41
12,Same Day,Corporate,Indiana,East,Office Supplies,Machines,384.2,3.0,0.1,22.95
13,Standard Class,Consumer,Kentucky,Central,Technology,Bookcases,75.45,6.0,0.3,63.28
14,Standard Class,Corporate,Nebraska,East,Furniture,Storage,264.61,7.0,0.1,-17.03
15,Same Day,Home Office,North Dakota,West,Office Supplies,Bookcases,376.59,6.0,0.0,-25.44
16,Standard Class,Consumer,Idaho,South,Technology,Paper,394.69,1.0,0.1,69.77
17,Same Day,Home Office,California,West,Furniture,Accessories,277.45,8.0,0.2,-24.96
18,First Class,Consumer,Rhode Island,West,Office Supplies,Machines,491.56,3.0,0.0,-5.31
19,First Class,Corporate,Maine,Central,Furniture,Copiers,340.7,9.0,0.3,60.3
20,Second Class,Consumer,West Virginia,East,Office Supplies,Tables,124.65,6.0,0.4,-29.84
21,Second Class,Corporate,Mississippi,West,Furniture,Accessories,396.09,9.0,0.4,42.45
22,First Class,Consumer,Illinois,West,Furniture,Appliances,371.07,4.0,0.0,52.33
23,First Class,Consumer,Texas,South,Office Supplies,Phones,338.15,7.0,0.0,70.71
24,Second Class,Consumer,Indiana,East,Technology,Appliances,133.67,4.0,0.1,53.34
25,First Class,Home Office,Maine,West,Technology,Phones,153.56,3.0,0.1,0.02
26,Second Class,Home Office,Arkansas,East,Office Supplies,Appliances,315.9,3.0,0.2,-8.09
27,Same Day,Corporate,Virginia,Central,Office Supplies,Labels,408.45,9.0,0.0,-31.13
28,First Class,Home Office,District of Columbia,West,Technology,Machines,372.9,6.0,0.2,26.2
29,Second Class,Consumer,Nebraska,South,Technology,Machines,211.83,1.0,0.1,22.97
30,Same Day,Consumer,California,South,Furniture,Envelopes,433.96,4.0,0.2,53.29
31,Same Day,Consumer,Illinois,Central,Technology,Chairs,312.69,7.0,0.1,-7.41
32,Standard Class,Corporate,Florida,Central,Office Supplies,Envelopes,52.91,7.0,0.2,-19.01
33,First Class,Consumer,California,South,Office Supplies,Phones,327.59,6.0,0.4,-36.68
34,Second Class,Corporate,Kentucky,East,Furniture,Machines,207.9,5.0,0.2,-2.25
35,Standard Class,Consumer,Oklahoma,South,Technology,Paper,478.22,6.0,0.0,-20.97
36,Second Class,Corporate,Ohio,Central,Technology,Art,229.64,3.0,0.1,7.05
37,Second Class,Corporate,Texas,South,Office Supplies,Paper,148.48,7.0,0.0,-5.62
38,First Class,Consumer,South Dakota,South,Furniture,Binders,308.75,2.0,0.1,28.58
39,Second Class,Consumer,Iowa,East,Technology,Labels,135.47,4.0,0.1,40.98
40,Standard Class,Corporate,Texas,Central,Office Supplies,Copiers,182.92,6.0,0.0,10.33
41,Standard Class,Home Office,Colorado,Central,Office Supplies,Art,54.77,1.0,0.2,36.03
42,First Class,Corporate,Indiana,West,Technology,Envelopes,232.56,7.0,0.1,60.58
43,Same Day,Corporate,Texas,South,Furniture,Appliances,149.41,5.0,0.2,-24.87
44,Same Day,Home Office,South Carolina,South,Technology,Phones,365.41,3.0,0.3,17.2
45,Standard Class,Home Office,Texas,Central,Technology,Storage,145.26,4.0,0.3,19.41
46,Standard Class,Home Office,Michigan,South,Office Supplies,Accessories,262.28,8.0,0.1,-25.72
47,First Class,Home Office,Connecticut,East,Office Supplies,Labels,117.86,5.0,0.1,-2.38
48,First Class,Consumer,District of Columbia,South,Furniture,Storage,347.72,4.0,0.3,-21.31
49,First Class,Consumer,Florida,East,Furniture,Binders,79.27,5.0,0.3,-9.15
50,Standard Class,Consumer,Oklahoma,East,Furniture,Supplies,302.09,2.0,0.2,-23.1
51,Same Day,Corporate,Connecticut,Central,Office Supplies,Envelopes,363.6,8.0,0.4,22.42
52,First Class,Home Office,Kansas,West,Furniture,Accessories,447.43,2.0,0.1,59.52
53,Second Class,Consumer,Missouri,West,Furniture,Appliances,497.36,8.0,0.1,22.38
54,First Class,Home Office,Connecticut,East,Office Supplies,Furnishings,360.18,3.0,0.2,55.21
